iter	Passed	Remaining
413	2496	3533
414	2500	3524
415	2508	3521
416	2515	3517
417	2524	3515
418	2528	3506
419	2531	3496
420	2539	3491
421	2546	3488
422	2558	3490
423	2562	3480
424	2567	3474
425	2580	3477
426	2585	3469
427	2589	3461
428	2594	3453
429	2600	3447
430	2606	3440
431	2614	3436
432	2623	3435
433	2634	3435
434	2639	3427
435	2641	3417
436	2649	3413
437	2652	3403
438	2657	3395
439	2660	3386
440	2663	3376
441	2667	3367
442	2670	3357
443	2674	3348
444	2680	3342
445	2683	3333
446	2686	3323
447	2688	3313
448	2693	3305
449	2696	3295
450	2701	3287
451	2704	3278
452	2708	3270
453	2713	3263
454	2718	3256
455	2723	3249
456	2728	3241
457	2733	3234
458	2737	3226
459	2743	3220
460	2750	3215
461	2756	3209
462	2762	3203
463	2767	3196
464	2771	3188
465	2774	3178
466	2777	3169
467	2780	3160
468	2784	3152
469	2789	3145
470	2792	3136
471	2796	3127
472	2799	3119
473	2806	3113
474	2809	3105
475	2813	3097
476	2817	3089
477	2821	3081
478	2825	3073
479	2828	3064
480	2831	3055
481	2834	3045
482	2838	3038
483	2841	3029
484	2849	3025
485	2862	3026
486	2865	3018
487	2868	3009
488	2872	3001
489	2875	2992
490	2878	2984
491	2881	2975
492	2884	2965
493	2886	2956
494	2889	2947
495	2892	2939
496	2894	2929
497	2897	2921
498	2900	2912
499	2903	2903
500	2906	2894
501	2908	2885
502	2911	2876
503	2914	2868
504	2917	2859
505	2919	2850
506	2922	2841
507	2925	2833
508	2927	2824
509	2930	2815
510	2935	2808
511	2938	2800
512	2943	2794
513	2949	2788
514	2953	2781
515	2957	2773
516	2962	2767
517	2966	2760
518	2970	2752
519	2974	2746
520	2978	2737
521	2980	2729
522	2984	2721
523	2986	2712
524	2990	2705
525	2994	2698
526	2997	2690
527	3001	2683
528	3006	2676
529	3010	2669
530	3015	2663
531	3018	2655
532	3023	2649
533	3030	2644
534	3035	2638
535	3041	2632
536	3048	2628
537	3054	2623
538	3061	2618
539	3065	2611
540	3073	2607
541	3079	2602
542	3085	2596
543	3091	2591
544	3099	2587
545	3102	2579
546	3105	2571
547	3108	2564
548	3113	2557
549	3117	2550
550	3121	2543
551	3127	2538
552	3130	2530
553	3133	2522
554	3136	2515
555	3139	2507
556	3141	2498
557	3144	2490
558	3147	2483
559	3152	2477
560	3156	2470
561	3163	2465
562	3166	2457
563	3168	2449
564	3171	2441
565	3174	2434
566	3178	2427
567	3181	2419
568	3184	2412
569	3187	2404
570	3191	2397
571	3193	2389
572	3196	2382
573	3200	2375
574	3205	2369
575	3208	2361
576	3210	2353
577	3214	2347
578	3217	2339
579	3220	2332
580	3223	2324
581	3226	2317
582	3229	2310
583	3232	2302
584	3237	2296
585	3241	2290
586	3246	2283
587	3249	2277
588	3261	2275
589	3264	2268
590	3267	2261
591	3272	2255
592	3280	2251
593	3287	2246
594	3289	2239
595	3295	2233
596	3302	2229
597	3307	2223
598	3313	2217
599	3318	2212
600	3322	2205
601	3325	2198
602	3329	2192
603	3332	2184
604	3336	2178
605	3339	2171
606	3342	2164
607	3345	2156
608	3347	2149
609	3350	2142
610	3354	2135
611	3358	2129
612	3361	2122
613	3365	2115
614	3368	2108
615	3371	2101
616	3374	2094
617	3378	2088
618	3384	2083
619	3387	2076
620	3390	2069
621	3393	2062
622	3395	2055
623	3398	2047
624	3402	2041
625	3404	2033
626	3407	2027
627	3411	2020
628	3413	2013
629	3418	2007
630	3421	2000
631	3424	1993
632	3427	1986
633	3430	1980
634	3433	1973
635	3436	1966
636	3439	1959
637	3441	1952
638	3444	1946
639	3447	1939
640	3450	1932
641	3454	1926
642	3460	1921
643	3463	1914
644	3469	1909
645	3476	1904
646	3481	1899
647	3483	1892
648	3488	1886
649	3491	1880
650	3497	1874
651	3501	1869
652	3505	1862
653	3510	1857
654	3513	1850
655	3517	1844
656	3522	1838
657	3524	1832
658	3527	1825
659	3530	1818
660	3534	1812
661	3537	1806
662	3540	1799
663	3544	1793
664	3547	1787
665	3550	1780
666	3553	1773
667	3557	1768
668	3560	1761
669	3563	1755
670	3566	1748
671	3569	1742
672	3574	1736
673	3578	1730
674	3582	1725
675	3588	1719
676	3594	1714
677	3599	1709
678	3601	1702
679	3605	1696
680	3608	1690
681	3611	1683
682	3614	1677
683	3617	1671
684	3620	1664
685	3624	1659
686	3627	1652
