Model,Original_ROC_AUC,Original_F1,Original_Recall,FE_ROC_AUC,FE_F1,FE_Recall,Delta_ROC_AUC,Delta_F1,Delta_Recall
Extra Trees,0.9579322294955718,0.8304668304668305,0.7971698113207547,0.9823594532152484,0.9016786570743405,0.8867924528301887,0.02442722371967665,0.07121182660751002,0.089622641509434
Random Forest,0.9683288409703503,0.8564476885644768,0.8301886792452831,0.9883679887049158,0.9371980676328503,0.9150943396226415,0.0200391477345655,0.08075037906837346,0.08490566037735847
LightGBM,0.9782200616095494,0.8872901678657075,0.8726415094339622,0.9894991015274034,0.9108433734939759,0.8915094339622641,0.01127903991785395,0.02355320562826846,0.018867924528301883
Gradient Boosting,0.9773576883583621,0.8905109489051095,0.8632075471698113,0.9884161211654473,0.9249394673123487,0.9009433962264151,0.011058432807085183,0.03442851840723915,0.037735849056603765
XGBoost,0.9800250288794763,0.8947368421052632,0.8820754716981132,0.9884963419329995,0.9164677804295943,0.9056603773584906,0.008471313053523222,0.02173093832433115,0.02358490566037741
CatBoost,0.9826161596714158,0.8990384615384616,0.8820754716981132,0.9896515209857528,0.9294403892944039,0.9009433962264151,0.007035361314337019,0.030401927755942304,0.018867924528301883
Logistic Regression,0.9774338980875369,0.8543689320388349,0.8301886792452831,0.9778510460788089,0.8674698795180723,0.8490566037735849,0.0004171479912720155,0.013100947479237401,0.018867924528301883
