Strategy,Best_Model,Accuracy,Precision_1,Recall_1,F1_1,Macro_F1,ROC_AUC,PR_AUC
No Handling,Random Forest,0.965,0.9554455445544554,0.910377358490566,0.9323671497584541,0.954379190393561,0.9884963419329996,0.9764050333780998
Class Weight,Random Forest,0.965,0.96,0.9056603773584906,0.9320388349514563,0.9542349056912164,0.9885123860865102,0.9755007277765798
RandomOverSampler,XGBoost,0.96125,0.9289099526066351,0.9245283018867925,0.9267139479905437,0.9501879000785344,0.985584328070851,0.9719155764280649
ADASYN,XGBoost,0.9575,0.9198113207547169,0.9198113207547169,0.9198113207547169,0.9454498780644334,0.9862341162880246,0.9712712912726258
BorderlineSMOTE,XGBoost,0.9575,0.9198113207547169,0.9198113207547169,0.9198113207547169,0.9454498780644334,0.9876299576434348,0.973821397280402
SMOTE,XGBoost,0.95625,0.919431279620853,0.9150943396226415,0.91725768321513,0.9437605323467324,0.9868437941214221,0.9731689602123635
